Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
143,77.7778,83.3333,0.0229842,0.0492208
144,77.7778,83.3333,0.0228358,0.0489865
145,77.7778,83.3333,0.0226904,0.0487558
146,77.7778,83.3333,0.0225479,0.0485285
147,77.7778,83.3333,0.0224086,0.0483045
148,77.7778,83.3333,0.0222725,0.0480836
149,77.7778,83.3333,0.0221396,0.0478656
150,77.7778,83.3333,0.0220099,0.0476504
151,77.7778,83.3333,0.0218835,0.0474376
152,77.7778,83.3333,0.0217604,0.047227
153,77.7778,83.3333,0.0216406,0.0470182
154,77.7778,83.3333,0.0215242,0.046811
155,77.7778,83.3333,0.021411,0.046605
156,77.7778,83.3333,0.0213011,0.0463999
157,77.7778,83.3333,0.0211944,0.0461953
158,77.7778,83.3333,0.021091,0.0459907
159,77.7778,83.3333,0.0209907,0.045786
160,77.7778,83.3333,0.0208936,0.0455806
161,77.7778,83.3333,0.0207995,0.0453741
162,77.7778,83.3333,0.0207085,0.0451662
163,77.7778,83.3333,0.0206205,0.0449565
164,77.7778,83.3333,0.0205353,0.0447446
165,77.7778,83.3333,0.0204531,0.04453
166,77.7778,83.3333,0.0203736,0.0443125
167,77.7778,83.3333,0.0202969,0.0440915
168,77.7778,83.3333,0.0202228,0.0438669
169,77.7778,83.3333,0.0201514,0.0436381
170,77.7778,83.3333,0.0200824,0.0434048
171,77.7778,83.3333,0.020016,0.0431668
172,77.7778,83.3333,0.0199519,0.0429236
173,77.7778,83.3333,0.0198902,0.0426751
174,78.8889,83.3333,0.0198307,0.0424209
175,78.8889,83.3333,0.0197733,0.0421607
176,78.8889,83.3333,0.0197181,0.0418945
177,78.8889,83.3333,0.0196648,0.0416218
178,78.8889,83.3333,0.0196134,0.0413426
179,78.8889,83.3333,0.0195639,0.0410566
180,78.8889,83.3333,0.0195162,0.0407638
181,78.8889,83.3333,0.0194701,0.0404639
182,78.8889,83.3333,0.0194255,0.0401569
183,78.8889,83.3333,0.0193825,0.0398427
184,78.8889,83.3333,0.019341,0.0395211
185,78.8889,83.3333,0.0193008,0.0391922
186,78.8889,83.3333,0.0192618,0.0388558
187,78.8889,83.3333,0.0192242,0.0385118
188,78.8889,83.3333,0.0191877,0.0381603
189,78.8889,83.3333,0.0191523,0.0378011
190,78.8889,83.3333,0.0191181,0.0374343
191,78.8889,83.3333,0.0190849,0.0370598
192,78.8889,83.3333,0.0190527,0.0366778
193,78.8889,83.3333,0.0190216,0.0362882
194,78.8889,83.3333,0.0189914,0.0358912
195,78.8889,83.3333,0.0189622,0.0354869
196,78.8889,83.3333,0.0189339,0.0350756
197,78.8889,83.3333,0.0189065,0.0346577
198,78.8889,83.3333,0.01888,0.0342336
199,78.8889,83.3333,0.0188543,0.0338037
200,78.8889,83.3333,0.0188294,0.0333688
201,78.8889,83.3333,0.0188052,0.0329297
202,77.7778,83.3333,0.0187816,0.0324872
203,77.7778,83.3333,0.0187585,0.0320424
204,77.7778,83.3333,0.0187359,0.0315963
205,77.7778,83.3333,0.0187136,0.0311503
206,77.7778,83.3333,0.0186915,0.0307057
207,77.7778,83.3333,0.0186695,0.030264
208,77.7778,83.3333,0.0186474,0.0298265
209,77.7778,83.3333,0.0186252,0.0293949
210,77.7778,83.3333,0.0186028,0.0289706
211,77.7778,83.3333,0.01858,0.0285552
212,77.7778,83.3333,0.0185567,0.02815
213,77.7778,83.3333,0.018533,0.0277565
214,77.7778,83.3333,0.0185088,0.0273759
215,80,86.6667,0.018484,0.0270094
216,80,86.6667,0.0184587,0.026658
217,80,86.6667,0.0184328,0.0263226
218,80,86.6667,0.0184066,0.026004
219,80,86.6667,0.01838,0.0257027
220,80,86.6667,0.0183531,0.0254191
221,80,86.6667,0.018326,0.0251534
222,80,86.6667,0.0182989,0.0249057
223,80,86.6667,0.0182718,0.024676
224,80,86.6667,0.0182449,0.0244641
225,80,86.6667,0.0182183,0.0242695
226,80,86.6667,0.0181922,0.0240919
227,80,86.6667,0.0181666,0.0239306
228,80,86.6667,0.0181415,0.0237849
229,80,86.6667,0.0181172,0.0236543
230,80,86.6667,0.0180937,0.0235378
231,80,86.6667,0.018071,0.0234347
232,80,86.6667,0.0180492,0.0233441
233,81.1111,86.6667,0.0180282,0.0232651
234,81.1111,86.6667,0.0180083,0.023197
235,81.1111,86.6667,0.0179892,0.0231389
236,81.1111,86.6667,0.0179711,0.02309
237,81.1111,86.6667,0.0179539,0.0230495
238,81.1111,86.6667,0.0179377,0.0230168
239,81.1111,86.6667,0.0179223,0.022991
240,81.1111,90,0.0179079,0.0229716
241,81.1111,90,0.0178943,0.022958
242,81.1111,90,0.0178815,0.0229495
243,81.1111,90,0.0178695,0.0229457
244,81.1111,90,0.0178583,0.0229461
245,81.1111,90,0.0178478,0.0229503
246,81.1111,90,0.017838,0.0229577
247,81.1111,90,0.0178289,0.0229682
248,81.1111,90,0.0178204,0.0229813
249,81.1111,90,0.0178126,0.0229968
250,81.1111,90,0.0178053,0.0230143
251,81.1111,90,0.0177986,0.0230337
252,81.1111,90,0.0177925,0.0230548
253,81.1111,90,0.0177868,0.0230773
254,81.1111,90,0.0177817,0.023101
255,81.1111,90,0.0177769,0.023126
256,81.1111,90,0.0177727,0.0231519
257,81.1111,90,0.0177688,0.0231787
258,81.1111,90,0.0177653,0.0232063
259,81.1111,86.6667,0.0177623,0.0232347
260,81.1111,86.6667,0.0177595,0.0232637
261,81.1111,86.6667,0.0177571,0.0232934
262,81.1111,86.6667,0.0177551,0.0233236
263,81.1111,86.6667,0.0177533,0.0233544
264,81.1111,86.6667,0.0177518,0.0233857
265,81.1111,86.6667,0.0177506,0.0234176
266,81.1111,86.6667,0.0177496,0.02345
267,81.1111,86.6667,0.0177489,0.0234829
268,81.1111,86.6667,0.0177484,0.0235164
269,81.1111,86.6667,0.0177481,0.0235506
270,81.1111,86.6667,0.0177479,0.0235853
271,81.1111,86.6667,0.017748,0.0236207
272,81.1111,86.6667,0.0177482,0.0236569
273,81.1111,86.6667,0.0177485,0.0236939
274,81.1111,86.6667,0.0177489,0.0237318
275,81.1111,86.6667,0.0177495,0.0237706
276,81.1111,86.6667,0.0177501,0.0238105
277,81.1111,86.6667,0.0177508,0.0238515
278,81.1111,86.6667,0.0177515,0.0238937
279,81.1111,86.6667,0.0177523,0.0239373
280,81.1111,86.6667,0.017753,0.0239823
281,81.1111,86.6667,0.0177538,0.0240288
282,81.1111,86.6667,0.0177545,0.024077
283,81.1111,86.6667,0.0177552,0.024127
284,81.1111,86.6667,0.0177558,0.0241789
285,81.1111,86.6667,0.0177563,0.0242328
286,81.1111,86.6667,0.0177568,0.0242889
287,81.1111,86.6667,0.017757,0.0243473
288,81.1111,86.6667,0.0177572,0.0244081
289,81.1111,86.6667,0.0177571,0.0244714
290,81.1111,86.6667,0.0177569,0.0245374
291,81.1111,86.6667,0.0177564,0.0246062
292,81.1111,86.6667,0.0177557,0.0246779
293,81.1111,86.6667,0.0177547,0.0247526
294,81.1111,86.6667,0.0177535,0.0248304
295,81.1111,86.6667,0.0177519,0.0249115
296,81.1111,86.6667,0.0177501,0.0249958
297,81.1111,86.6667,0.0177478,0.0250836
298,81.1111,86.6667,0.0177453,0.0251748
299,81.1111,86.6667,0.0177423,0.0252696
300,81.1111,86.6667,0.0177389,0.0253679
301,81.1111,86.6667,0.0177351,0.0254699
302,81.1111,86.6667,0.0177309,0.0255754
303,81.1111,86.6667,0.0177262,0.0256846
304,81.1111,86.6667,0.017721,0.0257974
305,81.1111,86.6667,0.0177153,0.0259138
306,81.1111,86.6667,0.0177092,0.0260337
307,81.1111,86.6667,0.0177025,0.0261571
308,81.1111,86.6667,0.0176953,0.0262839
309,81.1111,86.6667,0.0176875,0.026414
310,81.1111,86.6667,0.0176792,0.0265472
311,81.1111,86.6667,0.0176703,0.0266834
312,81.1111,86.6667,0.0176608,0.0268226
313,81.1111,86.6667,0.0176508,0.0269644
314,81.1111,86.6667,0.0176401,0.0271087
315,81.1111,86.6667,0.0176289,0.0272554
316,80,86.6667,0.0176171,0.0274041
317,80,86.6667,0.0176048,0.0275547
318,80,86.6667,0.0175918,0.027707
319,80,86.6667,0.0175783,0.0278606
320,80,86.6667,0.0175642,0.0280153
321,80,86.6667,0.0175495,0.0281709
322,80,86.6667,0.0175343,0.028327
323,80,86.6667,0.0175185,0.0284834
324,80,86.6667,0.0175022,0.0286399
325,80,86.6667,0.0174853,0.0287961
326,80,86.6667,0.017468,0.0289517
327,80,86.6667,0.0174501,0.0291066
328,80,86.6667,0.0174318,0.0292603
329,80,86.6667,0.017413,0.0294128
330,80,86.6667,0.0173937,0.0295636
331,80,86.6667,0.017374,0.0297126
332,80,86.6667,0.0173539,0.0298595
333,80,86.6667,0.0173334,0.0300041
334,80,86.6667,0.0173125,0.0301462
335,80,86.6667,0.0172912,0.0302855
336,80,86.6667,0.0172696,0.030422
337,80,86.6667,0.0172477,0.0305554
338,80,86.6667,0.0172255,0.0306855
339,80,86.6667,0.017203,0.0308122
340,80,86.6667,0.0171802,0.0309354
341,80,86.6667,0.0171572,0.031055
342,80,86.6667,0.0171339,0.0311708
343,80,86.6667,0.0171105,0.0312828
